index,true_label,predicted_label,channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
6,m_et_s,p_af_s,O1,-0.221164257,-0.074792107,75.30692243,8.677956121,-0.056507351,0.416885112,0.109824281,75.35583606,60.25380546,4.365441674,1.724843215,5.613855087,1.213496664,64.29405817,0.087315302,0.307247549,0.216161024,27.34375,2.160786031,0.721591042,1.422150108,75.30692243,0.336750088,1.659450624,4.575620703,214,0.384647266,11.23046875,5.37550218,8.51670887,0.320150453,0.007447043,0.157492501,3.56e-05,0.778047232,0.863092363,0.215846782,m_et_s,m_et_s
14,n_3_s,m_et_s,O1,0.163364548,0.185409591,73.02652585,8.545555912,-0.125417517,0.706711584,0.083733974,73.05321382,71.85368316,6.433103283,2.266085852,2.751108402,0.94817649,56.43526369,0.048748038,0.823699223,0.344652537,25.390625,2.145411371,0.712955005,1.369958331,73.02652585,0.275466315,1.938769213,4.375124032,182,0.353131584,11.23046875,3.698420719,8.531224911,0.29789429,0.010813293,0.06708656,7.88e-06,0.818370087,1.191888848,0.239092581,n_3_s,n_3_s
15,n_3_s,p_af_s,O1,0.578941857,0.441194982,71.80748135,8.47392951,0.733225286,2.94582496,0.102835463,72.14265502,77.91034591,3.504777652,1.461666748,2.078479167,0.927652378,41.37265942,0.050237988,0.703238585,0.446313051,28.3203125,2.136994334,0.733992545,1.4589947,71.80748135,0.291179801,1.963334355,4.670527301,205,0.331686542,11.71875,2.582934509,8.505808673,0.282962748,0.010626536,0.098167799,2.87e-05,0.863064325,0.745093458,0.26567175,n_3_s,n_3_s
16,n_3_s,p_af_s,O1,-0.200414927,0.247035574,81.87488049,9.048473932,-0.398825205,0.686375665,0.107827476,81.91504663,69.56012923,4.618449043,1.738625175,4.698884873,1.294180899,62.9006435,0.074703288,0.370008039,0.275422985,29.296875,2.202596117,0.734192656,1.445010815,81.87488049,0.338389326,1.714407556,4.668472454,205,0.38468987,10.7421875,6.890053588,8.502441858,0.328392757,0.010960202,0.245049213,2.12e-05,0.767315515,0.801762328,0.224833871,n_3_s,n_3_s
17,n_3_s,p_af_s,O1,0.243149456,0.495698593,74.32538816,8.621217324,-0.059655289,1.07137121,0.122603834,74.38450981,76.98286438,3.864721077,1.462926618,3.788012927,1.439575513,58.51028065,0.06474098,0.386198951,0.380034478,29.296875,2.154226296,0.738896947,1.45742663,74.32538816,0.35245518,1.667262897,4.779770719,223,0.336875182,10.7421875,4.604147127,8.569102651,0.301067225,0.009274999,0.138892069,1.37e-05,0.723783867,1.253994221,0.251625651,n_3_s,n_3_s
19,n_3_s,m_et_s,O1,-0.48114129,-0.03940722,61.97321426,7.872306794,-0.528578059,1.143447297,0.104166667,62.2047112,65.57237046,3.766372406,1.496413388,2.771936123,1.004319355,46.45026364,0.059675358,0.53984411,0.362316919,27.34375,2.063351132,0.728721228,1.426441456,61.97321426,0.309300586,1.808139131,4.687950638,207,0.324092483,11.23046875,2.957442692,8.555230132,0.367602847,0.007789869,0.076215804,1.76e-05,0.796481413,1.196105133,0.26577316,n_3_s,n_3_s
20,n_3_s,m_et_s,O1,0.007804488,0.08203976,53.53389407,7.316686004,-0.05409873,1.067649665,0.107827476,53.53395498,58.88344455,2.31310314,1.836654246,2.268256452,0.994602483,41.2617969,0.054972314,0.809720719,0.438487668,28.3203125,1.990157494,0.734129665,1.438555309,53.53389407,0.332139114,1.726412845,4.770664117,215,0.23816599,11.23046875,2.965097063,8.517784236,0.343094024,0.012232039,0.120264197,1.59e-05,0.733919834,1.098930253,0.268949561,n_3_s,n_3_s
21,n_3_s,p_af_s,O1,-0.20605172,0.079574116,57.79598225,7.602366885,-0.286584127,0.354203901,0.101762821,57.83843956,53.96950328,3.278166619,1.64032288,2.207771721,0.938315735,42.11656149,0.052420512,0.742976669,0.425005777,28.3203125,2.028459631,0.730454788,1.442163064,57.79598225,0.328085187,1.747163105,4.714884191,202,0.38544896,11.23046875,2.51471627,8.521719317,0.309133675,0.007266747,0.119150406,2.59e-05,0.780524059,1.203743923,0.256956331,n_3_s,n_3_s
22,p_af_s,m_et_s,O1,-0.262317875,0.481681468,151.504921,12.30873352,-0.954213487,9.932289814,0.08965655,151.5737316,174.7199508,4.3502444,2.027165172,3.520144781,1.044012719,54.03220195,0.065149016,0.57587551,0.296582324,25.390625,2.510309053,0.713638492,1.380032935,151.504921,0.218450905,2.473444458,4.445200401,189,0.283387154,11.71875,3.914230044,8.298294837,0.296305625,0.006558323,0.067984838,4.04e-05,0.902426573,1.458920064,0.255072763,p_af_s,p_af_s
23,p_af_s,n_3_s,O1,1.049676386,0.137960783,150.0940968,12.2512896,3.765932238,26.07361893,0.076522436,151.1959173,178.1991606,5.814956597,1.442081269,2.440123187,0.675205451,45.12738574,0.054071893,0.590987077,0.276709576,24.4140625,2.505631205,0.716685587,1.355421027,150.0940968,0.202515427,2.565330616,4.325599405,167,0.260042174,12.6953125,2.207586894,8.297511156,0.258153735,0.006395898,0.038467426,8.15e-06,0.884681462,3.939843574,0.293726574,p_af_s,p_af_s
