channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
O1,-0.2120304288664478,0.3725046860424006,68.18824164508219,8.257617189303595,-0.6726074135797022,1.6956082192111186,0.123202875399361,68.23319854784748,75.83281117977347,3.713589501676482,2.335064828553903,2.130591444075978,1.597393032770779,57.756468185423,0.0368892266271522,1.0959702457486415,0.7497415974387134,29.296875,2.111136070056593,0.7419634637979581,1.4920685243389038,68.18824164508219,0.3849038369115025,1.5464716536977603,4.938030420594719,227,0.271846630983703,10.7421875,2.8184279230249265,8.548636928301343,0.3064324365913153,0.010883310410143,0.2093937901361849,7.046818297036848e-06,0.6818649200136964,1.0492007544700492,0.3039079653345865,m_et_s,m_et_s
Oz,-0.048236775849756,0.8678704201056724,75.69546907769858,8.700314309132663,-0.8024394346845619,1.7538221081290803,0.1062300319488818,75.69779586424296,71.49080300498417,4.668241472919031,2.2149509150574453,2.671128832712886,1.4998659027428152,60.5466296592091,0.0441168872280343,0.8292190507366387,0.561510131736889,28.3203125,2.163359152505963,0.7383995762885356,1.4564012455210031,75.69546907769858,0.3474388663726053,1.6506770635975991,4.678015586908802,211,0.3111553684405425,10.7421875,3.3830813337361105,8.52186338356263,0.3594325193548167,0.0114792842308993,0.1678580940266974,1.7309802939813792e-05,0.7433695018112151,1.0020887796336702,0.2766927818781838,m_et_s,m_et_s
O2,-0.976798594924959,0.5604308150549162,129.84863388099578,11.395114474238325,-1.148104350371116,2.6618477114083303,0.0894568690095846,130.80276937604316,91.8796609950326,7.30561131307869,2.7874697958925854,3.870405734799917,1.623285429484271,77.76747379272297,0.049768952828735,0.7202009264376737,0.4194096280110508,27.34375,2.4331847086619587,0.7297216079576128,1.4204388472810272,129.84863388099578,0.2854409734583668,1.9559263415297223,4.4957614572227245,191,0.33639834032747,10.7421875,4.7362484341242,8.487528911358554,0.3506001086332935,0.0110444720203284,0.1608922399642623,1.3987623365082087e-05,0.8543256709126983,1.4784760892014313,0.2911734887593621,m_et_s,m_et_s
PO3,-0.5242278010630548,0.6564544007008657,95.01150120500314,9.747384326320736,-1.165506863486974,3.0467627148260856,0.1038338658146964,95.28631599241056,75.59011528223212,5.279908811859516,3.4908482462411987,3.1494140964972246,1.458731407285522,68.65794113767163,0.045871082708147,1.1084119583143153,0.4631754868017901,27.34375,2.276998974804534,0.7291205809566241,1.427132475674041,95.01150120500314,0.3106145665994678,1.8156971748785764,4.725245783632825,209,0.2972429233991208,10.7421875,3.270219463143634,8.47272718016845,0.3539405432292211,0.0069112946968122,0.1580834030794632,7.636578597714045e-06,0.7414460369857206,1.2950319881203574,0.3104615224288158,m_et_s,m_et_s
PO4,-0.2414213787387165,0.7389161756202655,97.42353853379134,9.870336292841868,-0.865924284265192,1.9063063506454023,0.0986421725239616,97.48182281590346,83.00343382056545,6.663349693863158,3.3493609069956647,3.9705149366858135,1.7687564419217447,81.1071684109068,0.04895393359771,0.8435583193628216,0.4454728089747786,26.3671875,2.2895339250981634,0.7303654635394635,1.402776405710509,97.42353853379134,0.3245986904553598,1.6836835490654174,4.67086327416372,206,0.3329845791840322,10.7421875,4.671311631393388,8.509609625825037,0.3678799258515254,0.0111476220113243,0.1484135250314774,2.178708245724712e-05,0.734586560450865,1.0689653496552938,0.2907471669078987,m_et_s,m_et_s
TP7,-0.1711978284308973,0.4243608232773396,51.25621970036419,7.159344921175693,-0.8828492241548059,2.368455214797902,0.0980431309904153,51.28552839682364,60.04933214415297,3.1181141119008395,1.6548922993856563,2.4179247825433894,0.9570109925382436,42.87180852910709,0.0563989452626375,0.6844267081149203,0.3957984960688371,27.34375,1.9684184853450144,0.7385417706786883,1.435123171937824,51.25621970036419,0.3277806981218147,1.6973798187828446,4.718827641053679,202,0.2577899043103029,11.23046875,2.6628185527307524,8.462866739307799,0.3819655401061384,0.0108687779845161,0.1208643706793219,1.6962145440130362e-06,0.732631404074004,0.9695336021897364,0.2980782623085086,m_et_s,m_et_s
TP8,-0.785241660271786,0.5866882525775319,137.83984823001268,11.740521633641867,-1.1706568892830842,2.8901022165150776,0.0906549520766773,138.4564526950391,95.09169426176842,9.467389122789378,3.570625228235463,5.977149603386761,2.120907175130612,104.76959584720802,0.0570504214992258,0.5973792635560405,0.3548358859762966,25.390625,2.463046245588498,0.7310624863480328,1.388414644790125,137.83984823001268,0.2944736506522507,1.8046667403668597,4.580405601513021,190,0.2651462745418606,9.27734375,5.6576575923252745,8.45562589051367,0.4330888853788929,0.0070795100428964,0.1614201530331407,2.859701851065785e-05,0.7952406095226617,0.9735481375015992,0.3063597551396911,m_et_s,m_et_s
Fz,-0.248893362756783,0.5789270045746853,161.6115945629164,12.712654898286054,-0.5813504491016949,1.117998461009302,0.0768769968051118,161.67354246894078,95.38126362454352,16.689363181330414,5.816162463624323,5.816846676868645,2.010757590223041,132.79376272997786,0.0438036136433349,0.999882373856089,0.3456782861784974,24.4140625,2.542597946030912,0.7299991812834159,1.372139544415736,161.6115945629164,0.262610413634423,1.9968173912180889,4.400108025707441,171,0.2959873473842295,9.27734375,5.207876305575125,8.491755881340861,0.426052224907635,0.0087516894842703,0.1487775866670955,2.440260150341628e-05,0.8429528551388981,1.081997590839512,0.3305136527717389,m_et_s,m_et_s
O1,-0.3947863019804958,0.0511038322431324,73.0936306094293,8.54948130645534,-0.3865659503571581,0.4554857216020096,0.1152156549520766,73.24948683366073,59.06502260147602,2.389554296279032,1.5633885491075556,3.847958734642452,1.223426263597862,50.83572476859864,0.0756939878826975,0.4062903624804136,0.3179416277476118,30.2734375,2.1458706152084583,0.7305199173121631,1.440004698235633,73.0936306094293,0.3531969912577476,1.6409665573058057,4.779821184271522,215,0.3591197987752174,11.23046875,7.147545872663054,8.545702716055896,0.3493074901110871,0.0099016975977204,0.1869224267746549,3.551710371830694e-05,0.7237516367660988,1.0441030407166525,0.2388788228872697,p_af_b,p_af_b
Oz,-0.131342020806617,0.3448810697700399,75.42608441019473,8.684819192717528,-0.5360003936223499,1.2366065875995105,0.1126198083067092,75.4433351366243,67.10233126831304,2.268820013322052,2.0242391207866706,4.616891272451327,1.392592176449528,58.43764078900965,0.0790054357108753,0.4384420167884754,0.3016298401391927,29.296875,2.1615765811479277,0.7258143843789178,1.404400964189578,75.42608441019473,0.3495993409485988,1.614374035426437,4.715286385352918,219,0.342988068694652,10.7421875,7.179574825287216,8.533851475415407,0.3828485643332928,0.0102580236191592,0.1831056906215838,2.6515596439752028e-05,0.7228616388308556,1.0515864736879268,0.2559492921767253,p_af_b,p_af_b
